Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN
Classical ,eisaaaa,HAMID449,1-0,2016.06.30,22:00:01,1901,1896,11,-11,D10,Slav Defense,300+5,Time forfeit,1. d4 d5 2. c4 c6 3. e3 a6 4. Nf3 e5 5. cxd5 e4 6. Ne5 cxd5 7. Qa4+ Bd7 8. Nxd7 Nxd7 9. Nc3 Nf6 10. Qb3 Be7 11. Nxd5 Qa5+ 12. Nc3 O-O 13. Be2 b5 14. O-O Rad8 15. Bd2 Qc7 16. Rac1 Qd6 17. Qc2 Qe6 18. Nb1 Bd6 19. a3 Nb6 20. Qc6 Nfd5 21. Ba5 Rc8 22. Qb7 Qh6 23. h3 Nc4 24. Bxc4 bxc4 25. Qxd5 Rfd8 26. Qxe4 Rd7 27. Bc3 Re7 28. Qf3 Re6 29. Nd2 Rf6 30. Qg4 Re8 31. Ne4 Rg6 32. Qd7 Rf8 33. Nxd6 Rxd6 34. Qc7 Rg6 35. Qh2 Re8 36. d5 f6 37. d6 Rd8 38. Rfd1 1-0
Blitz ,go4jas,Sergei1973,0-1,2016.06.30,22:00:01,1641,1627,-11,12,C20,King's Pawn Opening: 2.b3,300+0,Normal,1. e4 e5 2. b3 Nf6 3. Bb2 Nc6 4. Nf3 d6 5. d3 g6 6. Nbd2 Bg7 7. g3 Be6 8. Bg2 Qd7 9. O-O O-O 10. c3 b5 11. d4 exd4 12. cxd4 Bg4 13. Rc1 Rfe8 14. Qc2 Nb4 15. Qxc7 Qxc7 16. Rxc7 Nxa2 17. Ra1 Nb4 18. Raxa7 Rxa7 19. Rxa7 Nxe4 20. Nxe4 Rxe4 21. Ng5 Re1+ 22. Bf1 Be2 23. Rxf7 Bxf1 24. Kh1 Bh3# 0-1
Blitz tournament ,Evangelistaizac,kafune,1-0,2016.06.30,22:00:02,1647,1688,13,-13,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. Nf3 Bg4 4. Be2 Nf6 5. Nc3 Qd8 6. O-O Nc6 7. Bc4 e6 8. h3 Bh5 9. d3 Bd6 10. Bg5 Ne5 11. g4 Nxf3+ 12. Qxf3 Bg6 13. Bxf6 gxf6 14. h4 h5 15. gxh5 Bxh5 16. Qxb7 Bg4 17. Qc6+ Ke7 18. Rae1 Rxh4 19. Nd5+ Kf8 20. Nxf6 Qxf6 21. Qxa8+ Kg7 22. Qg2 Bh2+ 23. Qxh2 Rxh2 24. Kxh2 Qh4+ 25. Kg2 Qh3+ 26. Kg1 Qf3 27. Re3 Qf5 28. Rg3 Kf8 29. f3 Bh5 30. Rf2 Bg6 31. Rh2 1-0
Correspondence ,Jvayne,Wsjvayne,1-0,2016.06.30,22:00:02,1706,1317,27,-25,A00,Van't Kruijs Opening,-,Normal,1. e3 Nf6 2. Bc4 d6 3. e4 e6 4. Nf3 Nxe4 5. Nd4 Nxf2 6. Kxf2 Qh4+ 7. g3 Qxg3+ 8. Kxg3 d5 9. Bb5+ c6 10. Bf1 e5 11. Nf3 e4 12. Ne5 f6 13. Ng4 h5 14. Nf2 h4+ 15. Kf4 Bh3 16. Nxh3 g5+ 17. Nxg5 fxg5+ 18. Kxg5 Rh5+ 19. Qxh5+ Kd7 20. Qf7+ Kd6 21. Qxf8+ Kc7 22. Qf4+ Kb6 23. Qf2+ Kc7 24. Qf4+ Kc8 25. Bh3+ Kd8 26. Qd6+ Nd7 27. Bxd7 d4 28. d3 exd3 29. cxd3 b5 30. Kxh4 Rb8 31. Bg5# 1-0
Blitz tournament ,kyoday,BrettDale,0-1,2016.06.30,22:00:02,1945,1900,-14,13,B90,"Sicilian Defense: Najdorf, Lipnitsky Attack",180+0,Time forfeit,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bc4 Qc7 7. Bb3 b5 8. O-O Bb7 9. Re1 Nbd7 10. Be3 g6 11. f3 Bg7 12. Qe2 O-O 13. Rad1 b4 14. Na4 a5 15. Qf2 Rfc8 16. Ne2 Qd8 17. Bb6 Qe8 18. Be3 Ra6 19. c4 Nh5 20. Ng3 Nxg3 21. hxg3 Bc6 22. Qd2 Be5 23. Kf2 Ba8 24. Bd4 Rac6 25. f4 Bf6 26. g4 Nc5 27. Nxc5 dxc5 28. Be3 e5 29. f5 Be7 30. Kf3 Rd6 31. Qe2 Rcd8 32. Rxd6 Rxd6 33. Rd1 Qd7 34. Rxd6 Qxd6 35. Qd1 Qf6 36. Qd7 Bc6 37. Qc8+ Kg7 38. g5 Qd6 39. f6+ Bxf6 40. gxf6+ Qxf6+ 41. Ke2 Bxe4 42. Qg4 Bf5 43. Qg5 Qd6 44. Qh6+ Kg8 45. Ba4 Qd3+ 46. Kf2 Be6 47. Qg5 Qf5+ 48. Qxf5 Bxf5 49. b3 Be6 50. Bc1 f5 51. a3 e4 52. axb4 axb4 0-1
Blitz tournament ,lucaseixasouza,diguim,0-1,2016.06.30,22:00:02,1773,1809,-10,10,C27,Vienna Game,180+0,Normal,1. e4 e5 2. Nc3 d6 3. Nf3 h6 4. Bc4 c6 5. b3 Qf6 6. Bb2 b5 7. Be2 Be6 8. d4 Be7 9. dxe5 dxe5 10. Qd2 Nd7 11. O-O-O Rd8 12. Bd3 a5 13. Ne2 b4 14. h4 g5 15. hxg5 hxg5 16. Rxh8 Qxh8 17. Nxg5 Bf8 18. Nxe6 fxe6 19. Qg5 Bh6 20. Qxh6 Qxh6+ 21. Kb1 Ngf6 22. g3 Ng4 23. f4 Ne3 24. Rd2 Nc5 25. Bxe5 Nxd3 26. Rxd3 Rxd3 27. cxd3 Qh1+ 28. Nc1 Qg2 29. Bd4 Qc2+ 30. Ka1 Nd1 31. Ne2 Qxe2 32. g4 Qxd3 33. Be5 Qxe4 34. g5 Ne3 35. g6 Qxg6 36. a4 Qg1+ 37. Kb2 Qf2+ 38. Ka1 Qe1+ 39. Kb2 Qd2+ 40. Ka1 Qc1+ 41. Ka2 Qc2+ 42. Bb2 Nd1 43. f5 Qxb2# 0-1
Blitz tournament ,RENZZO77,HeadlessChicken,0-1,2016.06.30,22:00:02,1895,1886,-12,12,B10,Caro-Kann Defense: Two Knights Attack,180+0,Time forfeit,1. e4 c6 2. Nf3 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6 6. Bc4 Nd7 7. h3 Nb6 8. Bb3 Bd6 9. O-O O-O 10. a3 a5 11. d3 a4 12. Ba2 Be6 13. c4 Be7 14. Be3 Nd7 15. d4 Bf5 16. Nh4 Be4 17. f3 Bg6 18. Nxg6 hxg6 19. Qe2 Re8 20. Qf2 Bf8 21. Rad1 Nb6 22. Bf4 Nc8 23. d5 c5 24. Rfe1 Rxe1+ 25. Rxe1 Nd6 26. Qxc5 Nf5 27. Qc7 Qxc7 28. Bxc7 Bc5+ 29. Kh2 Bd4 30. g4 Nh4 31. Rf1 Bxb2 32. Bg3 g5 33. Bxh4 gxh4 34. Re1 Bxa3 35. Rb1 Ra7 36. Rb6 Bc5 37. Rb5 b6 38. Rb1 a3 39. Re1 g5 40. Re8+ Kg7 41. Kg2 Re7 42. Rxe7 Bxe7 43. Kf2 Bc5+ 44. Ke2 Kg6 45. Kd3 f5 46. Bb3 fxg4 47. fxg4 Kf6 48. Ke4 Bf2 49. d6 Bc5 50. Kd5 a2 51. Bxa2 Kg7 52. d7 Be7 53. Kc6 Kf6 54. Kxb6 Ke6 55. Kc7 f5 56. gxf5+ Kxf5 57. c5 Kf4 58. c6 Kg3 59. d8=Q Bxd8+ 60. Kxd8 Kxh3 61. c7 g4 62. c8=Q Kg3 63. Be6 h3 64. Bxg4 h2 0-1
Blitz tournament ,ipero,Bayern123,1-0,2016.06.30,22:00:02,2155,2356,20,-20,D02,Queen's Pawn Game: London System,180+0,Normal,1. d4 d5 2. Nf3 Nf6 3. Bf4 c6 4. e3 Bg4 5. Be2 Nbd7 6. O-O e6 7. Nbd2 Be7 8. h3 Bh5 9. Ne5 Bxe2 10. Qxe2 Nxe5 11. Bxe5 O-O 12. c4 Nd7 13. Bg3 a6 14. a3 b5 15. cxd5 cxd5 16. Nb3 Nb6 17. Nc5 Nc4 18. b3 Nb6 19. Rac1 Ra7 20. Qd2 Bd6 21. Bxd6 Qxd6 22. Qa5 Rfa8 23. f3 Nd7 24. Nd3 e5 25. dxe5 Nxe5 26. Nxe5 Qxe5 27. Qb6 h5 28. Rfe1 h4 29. Rc6 Re7 30. Qc5 Rae8 31. Rc8 Qg5 32. f4 Qg3 33. Re2 Rxc8 34. Qxc8+ Kh7 35. Qg4 Qxg4 36. hxg4 f6 37. Kf2 g5 38. f5 Kg7 39. Kf3 Rc7 40. Rd2 Rc3 41. Rxd5 Rxb3 42. a4 bxa4 43. Ra5 a3 44. Rxa6 Rc3 45. Ke4 Rc2 46. Rxa3 Rxg2 47. Ra7+ Kf8 48. Kd5 Re2 49. e4 h3 50. Ke6 Rxe4+ 51. Kxf6 Ke8 52. Rh7 Rxg4 53. Rxh3 Kd7 54. Re3 Rg1 55. Re7+ Kd6 56. Rg7 g4 57. Rg5 g3 58. Kg7 g2 59. f6 Ke6 60. f7 Rf1 61. Rg6+ Ke7 62. Rxg2 Rxf7+ 63. Kg6 Rf6+ 64. Kg5 Rf7 65. Kh6 Kf8 66. Rc2 Ke7 67. Rc7+ Kf6 68. Rc6+ Ke7 69. Kg6 Kf8 70. Rc8+ Ke7 71. Rc7+ 1-0
Blitz tournament ,Loginov19510410,Kereshu,0-1,2016.06.30,22:00:02,2010,2111,-9,9,A45,Indian Game,300+0,Normal,1. d4 Nf6 2. Bf4 e6 3. e3 d5 4. Nf3 h6 5. Bd3 Bd6 6. Ne5 a6 7. Nd2 c5 8. c3 Qc7 9. O-O Nbd7 10. Ndf3 O-O 11. Rc1 Nh5 12. Nxd7 Bxd7 13. Ne5 Nxf4 14. exf4 Be8 15. Bb1 Rc8 16. Qd3 f5 17. g4 Bxe5 18. fxe5 Bg6 19. Qg3 Qf7 20. gxf5 Bxf5 21. f4 cxd4 22. Bxf5 Qxf5 23. cxd4 Rxc1 24. Rxc1 Qxf4 25. Qxf4 Rxf4 26. Rc7 Rf7 27. Rc8+ Kh7 28. Re8 Rf4 29. Rxe6 Rxd4 30. Re7 Rd1+ 31. Kf2 Rd2+ 32. Ke3 Rxb2 33. Rd7 Rb1 34. Rxd5 Kg6 35. e6 Kf6 36. Rd6 Re1+ 37. Kf4 Rxe6 38. Rd7 Rb6 39. Rd4 a5 40. a4 Rb4 41. Rxb4 axb4 42. Ke4 g5 43. Kd4 h5 44. Kc4 g4 45. Kxb4 h4 46. Kb5 g3 47. hxg3 hxg3 48. Kb6 g2 49. Kxb7 g1=Q 50. a5 Qb1+ 51. Ka7 Qb5 52. a6 Ke6 53. Ka8 Qxa6+ 54. Kb8 Qc6 55. Ka7 Qb5 56. Ka8 Kd7 0-1
Blitz tournament ,Shambobala,cernunnoss,1-0,2016.06.30,22:00:02,1764,1773,12,-12,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. Nf3 Nf6 4. Be2 c6 5. O-O g6 6. d4 Bg7 7. c4 Qd8 8. Be3 O-O 9. Nc3 Nbd7 10. Qd2 b6 11. Rac1 Bb7 12. Rfd1 e6 13. b4 Rc8 14. a4 Qe7 15. c5 a5 16. bxa5 bxa5 17. Rb1 Ba8 18. Bh6 Rfd8 19. Bxg7 Kxg7 20. Rb3 Nxc5 21. Rb6 Nce4 22. Nxe4 Nxe4 23. Qb2 c5 24. dxc5+ Kg8 25. Rxd8+ Rxd8 26. h3 Qxc5 27. Rb8 Qxf2+ 28. Kh2 Qg3+ 29. Kg1 Rxb8 30. Bb5 Bd5 31. Ne5 Qe3+ 32. Kh2 Qf4+ 33. Kh1 Nf2+ 34. Kg1 Rc8 35. Nd3 Nxd3 36. Bxd3 Rc1+ 37. Qxc1 Qxc1+ 38. Kh2 Qf4+ 39. Kg1 Qc1+ 40. Kf2 Qd2+ 41. Kg3 Qxd3+ 42. Kh2 Qd1 43. Kg3 1-0
Classical ,DARDELU,chess4life54,0-1,2016.06.30,22:00:01,1649,1638,-13,11,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",900+3,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5 5. Nxf7 Bxf2+ 6. Kxf2 Nxe4+ 7. Kg1 Qh4 8. Qf3 Nd4 9. Qf1 Rf8 10. g3 Nxg3 11. hxg3 Qxg3+ 12. Qg2 Qxg2+ 13. Kxg2 Nxc2 14. d3 Rxf7 15. Bg5 Nxa1 16. Bxf7+ Kxf7 17. Rf1+ Kg6 18. Bd2 Nc2 19. Nc3 b6 20. Nd5 Bb7 21. Rg1 Bxd5+ 22. Kf2+ 0-1
Classical ,fabikim,sereno,1-0,2016.06.30,22:00:02,1630,1500,7,-7,C41,Philidor Defense #3,420+5,Normal,1. e4 e5 2. Nf3 d6 3. Bc4 Nc6 4. d3 Na5 5. Na3 Nxc4 6. Nxc4 a6 7. Ng5 h6 8. Nf3 Be6 9. Ne3 Be7 10. h3 Bg5 11. O-O Ne7 12. Nxg5 hxg5 13. Qf3 Qd7 14. g4 g6 15. c3 f5 16. exf5 gxf5 17. d4 fxg4 18. hxg4 Bxg4 19. Nxg4 O-O-O 20. Bxg5 Qf5 21. Qxf5+ Nxf5 22. Bxd8 Kxd8 23. Kg2 Rg8 24. Kf3 exd4 25. cxd4 Nxd4+ 26. Kf4 Ne2+ 27. Ke3 Re8+ 28. Kf3 Nd4+ 29. Kg3 Nf5+ 30. Kf4 Nh4 31. Rg1 Rf8+ 32. Kg3 Nf5+ 33. Kh2 Nd4 34. Rg3 Rxf2+ 35. Nxf2 1-0
Blitz tournament ,IZDenisZI,BoBo93,1-0,2016.06.30,22:00:02,1833,1837,11,-12,C36,"King's Gambit Accepted, Modern Defense",300+0,Normal,1. e4 e5 2. f4 exf4 3. Nf3 d5 4. e5 f6 5. d4 fxe5 6. Nxe5 Bd6 7. Qh5+ g6 8. Nxg6 hxg6 9. Qxh8 Qe7+ 10. Be2 Bg4 11. Qxg8+ Kd7 12. Nc3 Bb4 13. Qxd5+ Ke8 14. O-O Bxe2 15. Nxe2 Nc6 16. Qg8+ Qf8 17. Qxf8+ Kxf8 18. Bxf4 Kg7 19. Be5+ Kh6 20. c3 Be7 21. Ng3 Re8 22. Rf7 Nxe5 23. dxe5 Bc5+ 24. Kh1 Rxe5 25. h3 Bd6 26. Raf1 Rb5 27. Ne4 Rxb2 28. Nxd6 cxd6 29. Rd1 Rxa2 30. Rxb7 Ra3 31. Rc7 Ra6 32. Rd7 Rc6 33. R7xd6 Rxc3 34. Ra6 Rc7 35. Rda1 Rc5 36. Rxa7 Rg5 37. R7a5 Rg3 38. R1a3 Rxa3 39. Rxa3 Kg5 40. Kh2 Kf4 41. Rf3+ Kg5 42. Kg3 Kh5 43. Rf8 Kg5 44. h4+ Kh6 45. Kg4 Kg7 46. Ra8 Kh7 47. g3 Kh6 48. Ra6 Kg7 49. Kg5 Kf7 50. Rxg6 Ke7 51. h5 Kd7 52. h6 1-0
Blitz tournament ,lasha-fero,ildivinojohnny,1-0,2016.06.30,22:00:02,2020,1979,10,-11,A00,Polish Opening,180+0,Time forfeit,1. b4 e6 2. Bb2 d5 3. Nf3 Nf6 4. b5 Be7 5. e3 O-O 6. a4 c5 7. Be2 b6 8. O-O Bb7 9. d3 Nbd7 10. c4 Rc8 11. Ne5 Nxe5 12. Bxe5 Nd7 13. Bb2 Bf6 14. Qc2 Bxb2 15. Qxb2 Qf6 16. Qxf6 Nxf6 17. Bf3 Rc7 18. Nd2 Rd8 19. Rfd1 d4 20. Bxb7 Rxb7 21. e4 Nd7 22. f4 e5 23. f5 Nf6 24. h3 Nh5 25. Nf3 f6 26. Kf2 Nf4 27. h4 g6 28. g3 Nh5 29. g4 Nf4 30. a5 Kf7 31. axb6 axb6 32. g5 gxf5 33. gxf6 Kxf6 34. exf5 Kxf5 35. Ra3 Rdd7 36. Rg1 Ra7 37. Rg5+ Kf6 38. Rxa7 Rxa7 39. Nxe5 Ra2+ 40. Kg3 Ne6 41. Ng4+ Kf7 42. Rh5 Kg7 43. Re5 Nf8 44. Rd5 Rd2 45. Ne5 Re2 46. Kf4 Rf2+ 47. Nf3 Rd2 48. Ke4 Re2+ 49. Kf5 Re7 50. Ne5 Ng6 51. Nxg6 hxg6+ 52. Kg5 Re3 53. Rd6 Rxd3 54. Rxg6+ Kf7 55. h5 Rg3+ 56. Kf4 Rxg6 57. hxg6+ Kxg6 58. Ke4 Kf6 59. Kd3 Ke6 60. Kc2 Kd6 61. Kd2 Ke5 62. Kd3 1-0
Blitz tournament ,arkadyNa,sofianet06,0-1,2016.06.30,22:00:02,1581,1616,-12,11,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. d4 Qa5+ 4. Bd2 Qb6 5. c4 Bd7 6. Nf3 Nf6 7. Bc3 e6 8. Bd3 Bb4 9. O-O Bxc3 10. Nxc3 O-O 11. Qc2 h6 12. Ne4 Nxe4 13. Bxe4 Bc6 14. b3 f5 15. Bd3 Bxf3 16. gxf3 Qxd4 17. Rae1 Qf6 18. Re3 Nc6 19. Rfe1 e5 20. Bf1 Nd4 21. Qc3 Qg5+ 22. Bg2 Rae8 23. Rxe5 Rxe5 24. Rxe5 Nxf3+ 25. Qxf3 Qc1+ 26. Bf1 Qg5+ 27. Kh1 Rd8 28. Qxb7 Rd1 29. Qg2 Qxg2+ 30. Kxg2 Rd2 31. Rc5 Rxa2 0-1
Blitz tournament ,mayconchess,trend19,0-1,2016.06.30,22:00:02,1879,1868,-13,12,B01,Scandinavian Defense: Main Line,180+0,Normal,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 c6 5. Be2 Bg4 6. O-O e6 7. Ne4 Nd7 8. d4 Ngf6 9. Neg5 h6 10. Nh3 O-O-O 11. Nf4 Bd6 12. Nd3 Qc7 13. c4 h5 14. h3 Bxf3 15. Bxf3 Ng4 16. c5 Bxc5 17. Nxc5 Qh2# 0-1
Blitz tournament ,lj1983,plmnnnn,1-0,2016.06.30,22:00:02,1963,1979,12,-13,B10,Caro-Kann Defense: Two Knights Attack,180+0,Normal,1. e4 c6 2. Nf3 d5 3. Nc3 g6 4. d3 Bg7 5. Be2 Nf6 6. O-O dxe4 7. dxe4 Qxd1 8. Rxd1 O-O 9. h3 h6 10. Nh2 Be6 11. f4 b5 12. f5 Bc4 13. Bxc4 bxc4 14. Ng4 Nxg4 15. hxg4 gxf5 16. gxf5 Na6 17. Be3 Nb4 18. Bc5 Nxc2 19. Rac1 Rfd8 20. Rxd8+ Rxd8 21. Rxc2 1-0
Blitz tournament ,Inorem,leymoral,1-0,2016.06.30,22:00:02,1751,1712,10,-10,C62,Ruy Lopez: Steinitz Defense,180+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. d4 Bd7 5. dxe5 Nxe5 6. Bxd7+ Nxd7 7. O-O Qe7 8. Nc3 O-O-O 9. Be3 Kb8 10. Qd4 c5 11. Qd3 Ne5 12. Nxe5 Qxe5 13. Rfe1 Nf6 14. a3 Ng4 15. b4 Qxh2+ 16. Kf1 Qe5 17. bxc5 Be7 18. c6 b6 19. Nd5 Rc8 20. Qb5 Nxe3+ 21. fxe3 Qxe4 22. a4 Bh4 23. Re2 Qf5+ 24. Kg1 Rhe8 25. a5 Re5 26. axb6 Rxd5 27. bxa7+ Ka8 28. Qb7# 1-0
Blitz tournament ,Torres2300,Trabelsi-Wajdi,0-1,2016.06.30,22:00:02,1795,1800,-14,11,B32,Sicilian Defense: Franco-Sicilian Variation,300+0,Normal,1. e4 c5 2. Nf3 e6 3. d4 Nc6 4. d5 Nb4 5. c3 Na6 6. Bxa6 bxa6 7. O-O d6 8. Re1 e5 9. Qa4+ Bd7 10. Qxa6 Nf6 11. Na3 Be7 12. Nb5 Kf8 13. Nxd6 Bxd6 14. Qxd6+ Qe7 15. Qxe7+ Kxe7 16. Bg5 h6 17. Bh4 g5 18. Bg3 Rhe8 19. Nxe5 Nh5 20. Nxd7 Kxd7 21. Rad1 Rab8 22. b3 Rb6 23. e5 Ng7 24. c4 Nf5 25. f4 Nxg3 26. hxg3 gxf4 27. gxf4 a5 28. Kf2 a4 29. Rd3 axb3 30. axb3 Reb8 31. Ree3 Ra6 32. g4 Rg8 33. Kg3 h5 34. g5 Ra1 35. Kg2 h4 36. e6+ fxe6 37. dxe6+ Ke8 38. f5 Rxg5+ 39. Kh3 Rh1# 0-1
Blitz tournament ,Igor76,dancg,1-0,2016.06.30,22:00:02,1913,1925,11,-13,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack",300+0,Normal,1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7 5. f4 e6 6. Nf3 c5 7. c3 Nc6 8. Na3 cxd4 9. cxd4 Bxa3 10. bxa3 Qa5+ 11. Kf2 Qd8 12. Bd3 Nge7 13. Rb1 Qc8 14. a4 a6 15. Ba3 Ng6 16. Kg3 Rb8 17. Bd6 Ra8 18. Qb3 Nd8 19. Rhc1 Nc6 20. Qxb7 Qxb7 21. Rxb7 Nge7 22. Rcb1 Bc8 23. Rc7 Kd8 24. Ng5 Rf8 25. Nxh7 Rh8 26. Ng5 Rf8 27. Nf3 g6 28. Rb6 Bd7 29. Bxa6 Nc8 30. Bxc8 Rxc8 31. Rxc8+ Kxc8 32. Bxf8 1-0
Blitz tournament ,yoyoparker,philastro110,1-0,2016.06.30,22:00:02,1707,1739,13,-12,B01,Scandinavian Defense,300+0,Normal,1. e4 d5 2. e5 Bf5 3. d4 e6 4. Nc3 Nc6 5. Nf3 Nge7 6. Bb5 Qd7 7. Bg5 h6 8. Bxe7 Bxe7 9. Bxc6 Qxc6 10. O-O O-O 11. Qe2 a6 12. Rac1 b5 13. a3 Rab8 14. Na2 Bg5 15. Nxg5 hxg5 16. c3 g6 17. Qe3 g4 18. Nb4 Qb6 19. Nd3 Kg7 20. Nc5 Qc6 21. Qg5 Rh8 22. Qf6+ Kg8 23. b4 Ra8 24. f4 Qe8 25. g3 Qd8 26. Rf2 Qxf6 27. exf6 Kf8 28. Nd7+ Ke8 29. Ne5 Rh7 30. Nc6 Kd7 31. Ne5+ Kd6 32. Ra1 a5 33. bxa5 Rxa5 34. Rb2 c6 35. Rb4 Kc7 36. a4 Kb6 37. Nd7+ Ka6 38. Nc5+ Kb6 39. Rab1 Kc7 40. axb5 Bxb1 41. b6+ Kb8 42. Nd7+ Kb7 43. Nc5+ Kb8 44. b7 Rxc5 45. dxc5 Bd3 46. Rb6 Bb5 47. Kg2 Rh8 48. Kg1 Rd8 49. Kg2 Rd7 50. h3 gxh3+ 51. Kxh3 Rxb7 52. Rxb7+ Kxb7 53. Kg4 Kc7 54. Kg5 Bd3 55. Kh6 Kd7 56. Kg7 Ke8 57. Kh6 Bf5 58. Kg5 Be4 59. g4 Bg2 60. f5 e5 61. fxg6 e4 62. g7 1-0
Blitz tournament ,Axel15l,cavaleirobranco,1/2-1/2,2016.06.30,22:00:02,1512,1570,6,-2,C62,Ruy Lopez: Steinitz Defense,300+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. Bxc6+ bxc6 5. d4 exd4 6. Nxd4 Bb7 7. Nc3 c5 8. Nb3 Nf6 9. Bg5 h6 10. Bxf6 Qxf6 11. Qf3 Qxf3 12. gxf3 Be7 13. O-O-O Bf6 14. Nb5 O-O 15. Nxc7 Rab8 16. Nd5 Bxd5 17. Rxd5 Be5 18. h3 a5 19. c3 a4 20. Na5 a3 21. Nc4 axb2+ 22. Nxb2 Bxc3 23. Nc4 Ra8 24. Kc2 Bd4 25. a3 Bxf2 26. Rxd6 Ra4 27. Kb3 Ra7 28. Rh2 Bd4 29. f4 Rb8+ 30. Ka2 Ra4 31. Rc2 Rxc4 32. Rxc4 Rb2+ 33. Ka1 Rc2+ 34. Rcxd4 cxd4 35. Rxd4 Rc3 36. Rd8+ Kh7 37. h4 Rxa3+ 38. Kb2 Rh3 39. e5 Rxh4 40. f5 Re4 41. Re8 h5 42. Kc3 h4 43. Kd3 Re1 44. Kd2 Re4 45. Kd3 Re1 46. Kd2 Re4 47. Kd3 1/2-1/2
Blitz tournament ,Andique,machiine,1-0,2016.06.30,22:00:02,1816,1815,11,-10,B41,"Sicilian Defense: Kan Variation, Maroczy Bind, Reti Variation",300+0,Normal,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. c4 Qc7 6. Bd3 Nf6 7. Nc3 Bc5 8. Nde2 O-O 9. O-O Nc6 10. Bf4 d6 11. Bg3 Rd8 12. Qd2 Ne5 13. Bc2 Nxc4 14. Qg5 Ne5 15. Kh1 h6 16. Qd2 b5 17. f4 Nc4 18. Qc1 Ne3 19. Rf3 Nxc2 20. Qxc2 Bb7 21. f5 e5 22. Bh4 Rd7 23. Bxf6 gxf6 24. Qd2 Kh7 25. Rh3 1-0
